Designator,Mid X,Mid Y,Rotation,Layer
BOOT,105.3084,-83.1596,180.0,bottom
C1,122.1232,-70.6374,0.0,bottom
C2,131.179649,-75.931951,135.0,bottom
C3,124.3076,-92.202,270.0,bottom
C7,140.5128,-84.2264,180.0,bottom
C8,140.5128,-81.915,180.0,bottom
D1,106.3244,-56.261,270.0,bottom
D2,144.4244,-56.6166,270.0,bottom
D3,106.2736,-75.5142,270.0,bottom
D4,144.399,-75.5142,270.0,bottom
D5,106.3498,-94.5642,270.0,bottom
D6,144.4752,-94.5896,270.0,bottom
D7,121.412,-63.9318,270.0,bottom
D8,129.286,-63.9572,270.0,bottom
F1,123.0122,-51.0286,90.0,bottom
J1,127.4826,-98.2218,270.0,top
MX1,96.7994,-54.47295,0.0,top
MX10,115.8494,-92.57295,0.0,top
MX11,134.8994,-92.57295,0.0,top
MX12,153.9494,-92.57295,0.0,top
MX2,115.8494,-54.47295,0.0,top
MX3,134.8994,-54.47295,0.0,top
MX4,153.9494,-54.47295,0.0,top
MX5,96.7994,-73.52295,0.0,top
MX6,115.8494,-73.52295,0.0,top
MX7,134.8994,-73.52295,0.0,top
MX8,153.9494,-73.52295,0.0,top
MX9,96.7994,-92.57295,0.0,top
Q1,151.2316,-64.8208,180.0,bottom
R1,102.0064,-59.6392,180.0,bottom
R10,159.0802,-59.6392,180.0,bottom
R11,101.9302,-78.6892,180.0,bottom
R12,115.8748,-81.7372,0.0,bottom
R13,140.0556,-78.6892,180.0,bottom
R14,159.0802,-78.6892,180.0,bottom
R15,101.9556,-97.7138,180.0,bottom
R16,121.0056,-97.7392,180.0,bottom
R17,140.0556,-97.7392,180.0,bottom
R18,159.1056,-97.7392,180.0,bottom
R19,147.5486,-64.8208,90.0,bottom
R2,155.194,-83.3882,90.0,bottom
R20,145.034,-64.8208,90.0,bottom
R3,113.3348,-62.8904,0.0,bottom
R4,140.081,-59.6392,180.0,bottom
R5,106.3009,-47.5996,180.0,bottom
R6,144.4244,-47.7012,0.0,bottom
R7,124.079,-63.4746,90.0,bottom
R8,126.6698,-63.4746,90.0,bottom
R9,122.6331,-60.0202,0.0,bottom
RESET,148.1836,-83.2612,180.0,bottom
U1,125.500852,-82.061691,315.0,bottom
U2,125.3744,-56.6166,0.0,bottom
USB1,125.3744,-41.1226,180.0,bottom
X1,136.4488,-83.0326,90.0,bottom
