Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT","SW_Push","SKQG-1155865",105.308400,-83.159600,0.000000,bottom
"C1","10uF","C_0805_2012Metric",122.123200,-70.637400,180.000000,bottom
"C2","0.1uF","C_0805_2012Metric",131.179649,-75.931951,45.000000,bottom
"C3","0.1uF","C_0805_2012Metric",124.307600,-92.202000,270.000000,bottom
"C7","22pF","C_0805_2012Metric",140.512800,-84.226400,0.000000,bottom
"C8","22pF","C_0805_2012Metric",140.512800,-81.915000,0.000000,bottom
"D1","D_Small","D_SOT-23_ANK",106.324400,-56.261000,270.000000,bottom
"D2","D_Small","D_SOT-23_ANK",144.424400,-56.616600,270.000000,bottom
"D3","D_Small","D_SOT-23_ANK",106.273600,-75.514200,270.000000,bottom
"D4","D_Small","D_SOT-23_ANK",144.399000,-75.514200,270.000000,bottom
"D5","D_Small","D_SOT-23_ANK",106.349800,-94.564200,270.000000,bottom
"D6","D_Small","D_SOT-23_ANK",144.475200,-94.589600,270.000000,bottom
"D7","D_Zener_Small","D_SOD-123",121.412000,-63.931800,270.000000,bottom
"D8","D_Zener_Small","D_SOD-123",129.286000,-63.957200,270.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",123.012200,-51.028600,90.000000,bottom
"Q1","AO3401A","SOT-23",151.231600,-64.820800,0.000000,bottom
"R1","1k","R_0805_2012Metric",102.006400,-59.639200,0.000000,bottom
"R2","10k","R_0805_2012Metric",155.194000,-83.388200,90.000000,bottom
"R3","1k","R_0805_2012Metric",113.334800,-62.890400,180.000000,bottom
"R4","1k","R_0805_2012Metric",140.081000,-59.639200,0.000000,bottom
"R5","5.1k","R_0805_2012Metric",106.300900,-47.599600,0.000000,bottom
"R6","5.1k","R_0805_2012Metric",144.424400,-47.701200,180.000000,bottom
"R7","68R","R_0805_2012Metric",124.079000,-63.474600,90.000000,bottom
"R8","68R","R_0805_2012Metric",126.669800,-63.474600,90.000000,bottom
"R9","1.5K","R_0805_2012Metric",122.633100,-60.020200,180.000000,bottom
"R10","1k","R_0805_2012Metric",159.080200,-59.639200,0.000000,bottom
"R11","1k","R_0805_2012Metric",101.930200,-78.689200,0.000000,bottom
"R12","1k","R_0805_2012Metric",115.874800,-81.737200,180.000000,bottom
"R13","1k","R_0805_2012Metric",140.055600,-78.689200,0.000000,bottom
"R14","1k","R_0805_2012Metric",159.080200,-78.689200,0.000000,bottom
"R15","1k","R_0805_2012Metric",101.955600,-97.713800,0.000000,bottom
"R16","1k","R_0805_2012Metric",121.005600,-97.739200,0.000000,bottom
"R17","1k","R_0805_2012Metric",140.055600,-97.739200,0.000000,bottom
"R18","1k","R_0805_2012Metric",159.105600,-97.739200,0.000000,bottom
"R19","100r","R_0805_2012Metric",147.548600,-64.820800,90.000000,bottom
"R20","10k","R_0805_2012Metric",145.034000,-64.820800,90.000000,bottom
"RESET","SW_Push","SKQG-1155865",148.183600,-83.261200,0.000000,bottom
"U1","ATmega328P-AU","TQFP-32_7x7mm_P0.8mm",125.501400,-82.067400,225.000000,bottom
"U2","SRV05-4","SOT-23-6",125.374400,-56.616600,180.000000,bottom
"USB1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",125.374400,-41.122600,0.000000,bottom
"X1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",136.448800,-83.032600,90.000000,bottom
