Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BOOT","SW_Push","SKQG-1155865",100.380800,-81.940400,0.000000,bottom
"C1","10uF","C_0805_2012Metric",122.265400,-70.637400,180.000000,bottom
"C2","0.1uF","C_0805_2012Metric",137.312400,-78.257400,0.000000,bottom
"C3","0.1uF","C_0805_2012Metric",123.748800,-90.144600,270.000000,bottom
"C7","22pF","C_0805_2012Metric",141.376400,-82.727800,0.000000,bottom
"C8","22pF","C_0805_2012Metric",141.376400,-80.416400,0.000000,bottom
"D2","D_Small","D_SOT-23_ANK",106.324400,-56.794400,270.000000,bottom
"D4","D_Small","D_SOT-23_ANK",144.424400,-56.845200,270.000000,bottom
"D6","D_Small","D_SOT-23_ANK",106.299000,-75.717400,270.000000,bottom
"D8","D_Small","D_SOT-23_ANK",144.424400,-75.717400,270.000000,bottom
"D10","D_Small","D_SOT-23_ANK",106.324400,-94.919800,270.000000,bottom
"D12","D_Small","D_SOT-23_ANK",144.449800,-94.945200,270.000000,bottom
"D81","D_Zener_Small","D_SOD-123",121.005600,-62.509400,270.000000,bottom
"D82","D_Zener_Small","D_SOD-123",129.590800,-62.509400,270.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",123.012200,-51.028600,90.000000,bottom
"R2","10k","R_0805_2012Metric",106.400600,-86.690200,180.000000,bottom
"R5","5.1k","R_0805_2012Metric",106.300900,-47.599600,0.000000,bottom
"R6","5.1k","R_0805_2012Metric",144.424400,-47.701200,180.000000,bottom
"R7","68R","R_0805_2012Metric",124.028200,-62.052200,90.000000,bottom
"R8","68R","R_0805_2012Metric",126.619000,-62.052200,90.000000,bottom
"R9","1.5K","R_0805_2012Metric",118.237000,-62.636400,270.000000,bottom
"RESET","SW_Push","SKQG-1155865",110.693200,-81.991200,0.000000,bottom
"U1","ATmega328P-AU","TQFP-32_7x7mm_P0.8mm",125.577600,-80.086200,225.000000,bottom
"U2","SRV05-4","SOT-23-6",125.374400,-56.616600,180.000000,bottom
"USB1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",125.374400,-41.122600,0.000000,bottom
"XTAL1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",137.312400,-81.534000,90.000000,bottom
